# Viterbi_decoding posterior_decoding posterior_mean
1.75 0.32 0.772645
1.75 0.32 0.772550
1.75 0.32 0.772455
1.75 0.32 0.772360
1.75 0.32 0.772266
1.75 0.32 0.772172
1.75 0.32 0.772079
1.75 0.32 0.771986
1.75 0.32 0.771894
1.75 0.32 0.771802
1.75 0.32 0.771710
1.75 0.32 0.771619
1.75 0.32 0.771529
1.75 0.32 0.771439
1.75 0.32 0.771349
1.75 0.32 0.771260
1.75 0.32 0.771171
1.75 0.32 0.771083
1.75 0.32 0.770995
1.75 0.32 0.770907
1.75 0.32 0.770820
1.75 0.32 0.770734
1.75 0.32 0.770648
1.75 0.32 0.770562
1.75 0.32 0.770477
1.75 0.32 0.770392
1.75 0.32 0.770307
1.75 0.32 0.770223
1.75 0.32 0.770140
1.75 0.32 0.770057
1.75 0.32 0.769974
1.75 0.32 0.769891
1.75 0.32 0.769810
1.75 0.32 0.769728
1.75 0.32 0.769647
1.75 0.32 0.769566
1.75 0.32 0.769486
1.75 0.32 0.769406
1.75 0.32 0.769327
1.75 0.32 0.769248
1.75 0.32 0.769170
1.75 0.32 0.769091
1.75 0.32 0.769014
1.75 0.32 0.768936
1.75 0.32 0.768859
1.75 0.32 0.768783
1.75 0.32 0.768707
1.75 0.32 0.768631
1.75 0.32 0.768556
1.75 0.32 0.768481
1.75 0.32 0.768407
1.75 0.32 0.768333
1.75 0.32 0.768259
1.75 0.32 0.768186
1.75 0.32 0.768113
1.75 0.32 0.768040
1.75 0.32 0.767968
1.75 0.32 0.767897
1.75 0.32 0.767825
1.75 0.32 0.767754
1.75 0.32 0.767684
1.75 0.32 0.767614
1.75 0.32 0.767544
1.75 0.32 0.767475
1.75 0.32 0.767406
1.75 0.32 0.767337
1.75 0.32 0.767269
1.75 0.32 0.767202
1.75 0.32 0.767134
1.75 0.32 0.767067
1.75 0.32 0.767001
1.75 0.32 0.766934
1.75 0.32 0.766869
1.75 0.32 0.766803
1.75 0.32 0.766738
1.75 0.32 0.766673
1.75 0.32 0.766609
1.75 0.32 0.766545
1.75 0.32 0.766482
