# Viterbi_decoding posterior_decoding posterior_mean
1.75 1.75 1.762223
1.75 1.75 1.762407
1.75 1.75 1.762592
1.75 1.75 1.762777
1.75 1.75 1.762962
1.75 1.75 1.763146
1.75 1.75 1.763331
1.75 1.75 1.763516
1.75 1.75 1.763701
1.75 1.75 1.763885
1.75 1.75 1.764070
1.75 1.75 1.764255
1.75 1.75 1.764440
1.75 1.75 1.764625
1.75 1.75 1.764809
1.75 1.75 1.764994
1.75 1.75 1.765179
1.75 1.75 1.765364
1.75 1.75 1.765549
1.75 1.75 1.765733
1.75 1.75 1.765918
1.75 1.75 1.766103
1.75 1.75 1.766288
1.75 1.75 1.766473
1.75 1.75 1.766658
1.75 1.75 1.766843
1.75 1.75 1.767028
1.75 1.75 1.767212
1.75 1.75 1.767397
1.75 1.75 1.767582
1.75 1.75 1.767767
1.75 1.75 1.767952
1.75 1.75 1.768137
1.75 1.75 1.768322
1.75 1.75 1.768507
1.75 1.75 1.768692
1.75 1.75 1.768877
1.75 1.75 1.769062
1.75 1.75 1.769247
1.75 1.75 1.769432
1.75 1.75 1.769617
1.75 1.75 1.769802
1.75 1.75 1.769987
1.75 1.75 1.770172
1.75 1.75 1.770358
1.75 1.75 1.770543
1.75 1.75 1.770728
1.75 1.75 1.770913
1.75 1.75 1.771098
1.75 1.75 1.771283
1.75 1.75 1.771469
1.75 1.75 1.771654
1.75 1.75 1.771839
1.75 1.75 1.772024
1.75 1.75 1.772210
1.75 1.75 1.772395
1.75 1.75 1.772580
1.75 1.75 1.772765
1.75 1.75 1.772951
1.75 1.75 1.773136
1.75 1.75 1.773322
1.75 1.75 1.773507
1.75 1.75 1.773692
1.75 1.75 1.773878
1.75 1.75 1.774063
1.75 1.75 1.774249
1.75 1.75 1.774434
1.75 1.75 1.774620
1.75 1.75 1.774805
1.75 1.75 1.774991
1.75 1.75 1.775177
1.75 1.75 1.775362
1.75 1.75 1.775548
1.75 1.75 1.775734
1.75 1.75 1.775919
1.75 1.75 1.776105
1.75 1.75 1.776291
1.75 1.75 1.776476
1.75 1.75 1.776662
1.75 1.75 1.776848
1.75 1.75 1.777034
1.75 1.75 1.777220
1.75 1.75 1.777406
1.75 1.75 1.777592
1.75 1.75 1.777778
1.75 1.75 1.777964
1.75 1.75 1.778150
1.75 1.75 1.778336
1.75 1.75 1.778522
1.75 1.75 1.778708
1.75 1.75 1.778894
1.75 1.75 1.779080
1.75 1.75 1.779266
1.75 1.75 1.779452
1.75 1.75 1.779639
1.75 1.75 1.779825
1.75 1.75 1.780011
1.75 1.75 1.780197
1.75 1.75 1.780384
1.75 1.75 1.780570
1.75 1.75 1.780757
1.75 1.75 1.780943
1.75 1.75 1.781130
1.75 1.75 1.781316
1.75 1.75 1.781503
1.75 1.75 1.781689
1.75 1.75 1.781876
1.75 1.75 1.782063
1.75 1.75 1.782249
1.75 1.75 1.782436
1.75 1.75 1.782623
1.75 1.75 1.782809
1.75 1.75 1.782996
1.75 1.75 1.783183
1.75 1.75 1.783370
1.75 1.75 1.783557
1.75 1.75 1.783744
1.75 1.75 1.783931
1.75 1.75 1.784118
1.75 1.75 1.784305
1.75 1.75 1.784492
1.75 1.75 1.784679
1.75 1.75 1.784652
1.75 1.75 1.784625
1.75 1.75 1.784599
1.75 1.75 1.784573
1.75 1.75 1.784547
1.75 1.75 1.784521
1.75 1.75 1.784496
1.75 1.75 1.784471
1.75 1.75 1.784446
1.75 1.75 1.784421
1.75 1.75 1.784397
1.75 1.75 1.784373
1.75 1.75 1.784350
1.75 1.75 1.784326
1.75 1.75 1.784303
1.75 1.75 1.784281
1.75 1.75 1.784258
1.75 1.75 1.784236
1.75 1.75 1.784214
1.75 1.75 1.784193
1.75 1.75 1.784171
1.75 1.75 1.784150
1.75 1.75 1.784130
1.75 1.75 1.784109
1.75 1.75 1.784089
1.75 1.75 1.784069
1.75 1.75 1.784050
1.75 1.75 1.784030
1.75 1.75 1.784011
1.75 1.75 1.783992
1.75 1.75 1.783974
1.75 1.75 1.783956
1.75 1.75 1.783938
1.75 1.75 1.783920
1.75 1.75 1.783903
1.75 1.75 1.783886
1.75 1.75 1.783869
1.75 1.75 1.783853
1.75 1.75 1.783837
1.75 1.75 1.783821
1.75 1.75 1.783805
1.75 1.75 1.783790
1.75 1.75 1.783775
1.75 1.75 1.783760
1.75 1.75 1.783746
1.75 1.75 1.783731
