# Viterbi_decoding posterior_decoding posterior_mean
1.75 1.75 1.672554
1.75 1.75 1.672617
1.75 1.75 1.672681
1.75 1.75 1.672746
1.75 1.75 1.672812
1.75 1.75 1.672879
1.75 1.75 1.672947
1.75 1.75 1.673016
1.75 1.75 1.673087
1.75 1.75 1.673159
1.75 1.75 1.673231
1.75 1.75 1.673305
1.75 1.75 1.673380
1.75 1.75 1.673456
1.75 1.75 1.673533
1.75 1.75 1.673611
1.75 1.75 1.673690
1.75 1.75 1.673771
1.75 1.75 1.673852
1.75 1.75 1.673935
1.75 1.75 1.674019
1.75 1.75 1.674103
1.75 1.75 1.674189
1.75 1.75 1.674276
1.75 1.75 1.674364
1.75 1.75 1.674453
1.75 1.75 1.674543
1.75 1.75 1.674635
1.75 1.75 1.674727
1.75 1.75 1.674821
1.75 1.75 1.674915
1.75 1.75 1.675011
1.75 1.75 1.675108
1.75 1.75 1.675206
1.75 1.75 1.675304
1.75 1.75 1.675404
1.75 1.75 1.675506
1.75 1.75 1.675608
1.75 1.75 1.675711
1.75 1.75 1.675816
1.75 1.75 1.675921
1.75 1.75 1.676028
1.75 1.75 1.676135
1.75 1.75 1.676244
1.75 1.75 1.676354
1.75 1.75 1.676465
1.75 1.75 1.676577
1.75 1.75 1.676690
1.75 1.75 1.676804
1.75 1.75 1.676919
1.75 1.75 1.677036
1.75 1.75 1.677153
1.75 1.75 1.677272
1.75 1.75 1.677391
1.75 1.75 1.677512
1.75 1.75 1.677634
1.75 1.75 1.677757
1.75 1.75 1.677881
1.75 1.75 1.678006
1.75 1.75 1.678132
1.75 1.75 1.678260
1.75 1.75 1.678388
1.75 1.75 1.678517
1.75 1.75 1.678648
1.75 1.75 1.678780
1.75 1.75 1.678912
1.75 1.75 1.679046
1.75 1.75 1.679181
1.75 1.75 1.679317
1.75 1.75 1.679454
1.75 1.75 1.679592
1.75 1.75 1.679732
1.75 1.75 1.679872
1.75 1.75 1.680014
1.75 1.75 1.680156
1.75 1.75 1.680300
1.75 1.75 1.680445
1.75 1.75 1.680591
1.75 1.75 1.680738
1.75 1.75 1.680886
1.75 1.75 1.681035
1.75 1.75 1.681185
1.75 1.75 1.681336
1.75 1.75 1.681489
1.75 1.75 1.681642
1.75 1.75 1.681797
1.75 1.75 1.681953
1.75 1.75 1.682110
1.75 1.75 1.682268
1.75 1.75 1.682427
1.75 1.75 1.682587
1.75 1.75 1.682748
1.75 1.75 1.682911
1.75 1.75 1.683074
1.75 1.75 1.683239
1.75 1.75 1.683405
1.75 1.75 1.683571
1.75 1.75 1.683739
1.75 1.75 1.683908
1.75 1.75 1.684079
1.75 1.75 1.684250
1.75 1.75 1.684422
1.75 1.75 1.684596
1.75 1.75 1.684770
1.75 1.75 1.684946
1.75 1.75 1.685123
1.75 1.75 1.685301
1.75 1.75 1.685480
1.75 1.75 1.685660
1.75 1.75 1.685842
1.75 1.75 1.686024
1.75 1.75 1.686208
1.75 1.75 1.686392
1.75 1.75 1.686578
1.75 1.75 1.686765
1.75 1.75 1.686953
1.75 1.75 1.687142
1.75 1.75 1.687333
1.75 1.75 1.687524
1.75 1.75 1.687717
1.75 1.75 1.687911
1.75 1.75 1.688105
1.75 1.75 1.687732
1.75 1.75 1.687360
1.75 1.75 1.686990
1.75 1.75 1.686621
1.75 1.75 1.686254
1.75 1.75 1.685888
1.75 1.75 1.685523
1.75 1.75 1.685161
1.75 1.75 1.684799
1.75 1.75 1.684440
1.75 1.75 1.684081
1.75 1.75 1.683725
1.75 1.75 1.683369
1.75 1.75 1.683016
1.75 1.75 1.682663
1.75 1.75 1.682312
1.75 1.75 1.681963
1.75 1.75 1.681615
1.75 1.75 1.681268
1.75 1.75 1.680923
1.75 1.75 1.680580
1.75 1.75 1.680238
1.75 1.75 1.679897
1.75 1.75 1.679557
1.75 1.75 1.679220
1.75 1.75 1.678883
1.75 1.75 1.678548
1.75 1.75 1.678214
1.75 1.75 1.677882
1.75 1.75 1.677551
1.75 1.75 1.677222
1.75 1.75 1.676893
1.75 1.75 1.676567
1.75 1.75 1.676241
1.75 1.75 1.675917
1.75 1.75 1.675595
1.75 1.75 1.675273
1.75 1.75 1.674954
1.75 1.75 1.674635
1.75 1.75 1.674318
1.75 1.75 1.674002
1.75 1.75 1.673687
1.75 1.75 1.673374
1.75 1.75 1.673062
1.75 1.75 1.672752
1.75 1.75 1.672443
1.75 1.75 1.672135
1.75 1.75 1.671828
1.75 1.75 1.671523
1.75 1.75 1.671219
1.75 1.75 1.670916
1.75 1.75 1.670615
1.75 1.75 1.670315
1.75 1.75 1.670016
1.75 1.75 1.669718
1.75 1.75 1.669422
1.75 1.75 1.669127
1.75 1.75 1.668834
1.75 1.75 1.668541
1.75 1.75 1.668250
1.75 1.75 1.667960
1.75 1.75 1.667671
1.75 1.75 1.667384
1.75 1.75 1.667098
1.75 1.75 1.666813
1.75 1.75 1.666529
1.75 1.75 1.666247
1.75 1.75 1.665965
1.75 1.75 1.665685
1.75 1.75 1.665406
1.75 1.75 1.665129
1.75 1.75 1.664852
1.75 1.75 1.664577
1.75 1.75 1.664303
1.75 1.75 1.664030
1.75 1.75 1.663759
1.75 1.75 1.663489
1.75 1.75 1.663219
1.75 1.75 1.662951
1.75 1.75 1.662684
1.75 1.75 1.662419
1.75 1.75 1.662154
1.75 1.75 1.661891
1.75 1.75 1.661629
1.75 1.75 1.661368
1.75 1.75 1.661108
1.75 1.75 1.660849
1.75 1.75 1.660592
1.75 1.75 1.660335
1.75 1.75 1.660080
1.75 1.75 1.659826
1.75 1.75 1.659573
1.75 1.75 1.659321
1.75 1.75 1.659071
1.75 1.75 1.658821
1.75 1.75 1.658573
1.75 1.75 1.658325
1.75 1.75 1.658079
1.75 1.75 1.657834
1.75 1.75 1.657590
1.75 1.75 1.657347
1.75 1.75 1.657105
1.75 1.75 1.656864
