# Viterbi_decoding posterior_decoding posterior_mean
1.75 1.75 1.750000
1.75 1.75 1.749990
1.75 1.75 1.749980
1.75 1.75 1.749970
1.75 1.75 1.749960
1.75 1.75 1.749950
1.75 1.75 1.749940
1.75 1.75 1.749931
1.75 1.75 1.749921
1.75 1.75 1.749911
1.75 1.75 1.749902
1.75 1.75 1.749892
1.75 1.75 1.749882
1.75 1.75 1.749873
1.75 1.75 1.749864
1.75 1.75 1.749854
1.75 1.75 1.749845
1.75 1.75 1.749835
1.75 1.75 1.749826
1.75 1.75 1.749817
1.75 1.75 1.749808
1.75 1.75 1.749799
1.75 1.75 1.749790
1.75 1.75 1.749781
1.75 1.75 1.749772
1.75 1.75 1.749763
1.75 1.75 1.749754
1.75 1.75 1.749746
1.75 1.75 1.749737
1.75 1.75 1.749728
1.75 1.75 1.749720
1.75 1.75 1.749711
1.75 1.75 1.749703
1.75 1.75 1.749694
1.75 1.75 1.749686
1.75 1.75 1.749678
1.75 1.75 1.749670
1.75 1.75 1.749662
1.75 1.75 1.749654
1.75 1.75 1.749646
1.75 1.75 1.749638
1.75 1.75 1.749630
1.75 1.75 1.749622
1.75 1.75 1.749614
1.75 1.75 1.749607
1.75 1.75 1.749599
1.75 1.75 1.749592
1.75 1.75 1.749584
1.75 1.75 1.749577
1.75 1.75 1.749570
1.75 1.75 1.749562
1.75 1.75 1.749555
1.75 1.75 1.749548
1.75 1.75 1.749541
1.75 1.75 1.749534
1.75 1.75 1.749527
1.75 1.75 1.749521
1.75 1.75 1.749514
1.75 1.75 1.749507
1.75 1.75 1.749501
1.75 1.75 1.749494
1.75 1.75 1.749488
1.75 1.75 1.749482
1.75 1.75 1.749475
1.75 1.75 1.749469
1.75 1.75 1.749463
1.75 1.75 1.749457
1.75 1.75 1.749451
1.75 1.75 1.749446
1.75 1.75 1.749440
1.75 1.75 1.749434
1.75 1.75 1.749429
1.75 1.75 1.749423
1.75 1.75 1.749418
1.75 1.75 1.749413
1.75 1.75 1.749407
1.75 1.75 1.749402
1.75 1.75 1.749397
1.75 1.75 1.749392
1.75 1.75 1.749387
1.75 1.75 1.749383
1.75 1.75 1.749378
1.75 1.75 1.749373
1.75 1.75 1.749369
1.75 1.75 1.749364
1.75 1.75 1.749360
1.75 1.75 1.749356
1.75 1.75 1.749352
1.75 1.75 1.749348
1.75 1.75 1.749344
1.75 1.75 1.749340
1.75 1.75 1.749336
1.75 1.75 1.749333
1.75 1.75 1.749329
1.75 1.75 1.749326
1.75 1.75 1.749322
1.75 1.75 1.749319
1.75 1.75 1.749316
1.75 1.75 1.749313
1.75 1.75 1.749310
1.75 1.75 1.749307
1.75 1.75 1.749304
1.75 1.75 1.749301
1.75 1.75 1.749299
1.75 1.75 1.749296
1.75 1.75 1.749294
1.75 1.75 1.749292
1.75 1.75 1.749290
1.75 1.75 1.749288
1.75 1.75 1.749286
1.75 1.75 1.749284
1.75 1.75 1.749282
1.75 1.75 1.749281
1.75 1.75 1.749279
1.75 1.75 1.749278
1.75 1.75 1.749276
1.75 1.75 1.749275
1.75 1.75 1.749274
1.75 1.75 1.749273
1.75 1.75 1.749272
1.75 1.75 1.749272
1.75 1.75 1.749271
1.75 1.75 1.749271
1.75 1.75 1.749270
1.75 1.75 1.749270
1.75 1.75 1.749270
1.75 1.75 1.749270
1.75 1.75 1.749270
1.75 1.75 1.749270
1.75 1.75 1.749271
1.75 1.75 1.749271
1.75 1.75 1.749272
1.75 1.75 1.749272
1.75 1.75 1.749273
1.75 1.75 1.749274
1.75 1.75 1.749275
1.75 1.75 1.749277
1.75 1.75 1.749278
1.75 1.75 1.749280
1.75 1.75 1.749281
1.75 1.75 1.749283
1.75 1.75 1.749285
1.75 1.75 1.749287
1.75 1.75 1.749289
1.75 1.75 1.749291
1.75 1.75 1.749294
1.75 1.75 1.749296
1.75 1.75 1.749299
1.75 1.75 1.749302
1.75 1.75 1.749305
1.75 1.75 1.749308
1.75 1.75 1.749311
1.75 1.75 1.749315
1.75 1.75 1.749318
1.75 1.75 1.749322
1.75 1.75 1.749326
1.75 1.75 1.749330
1.75 1.75 1.749334
1.75 1.75 1.749338
1.75 1.75 1.749343
1.75 1.75 1.749347
1.75 1.75 1.749352
1.75 1.75 1.749357
1.75 1.75 1.749362
1.75 1.75 1.749367
1.75 1.75 1.749373
1.75 1.75 1.749378
1.75 1.75 1.749384
1.75 1.75 1.749390
1.75 1.75 1.749396
1.75 1.75 1.749402
1.75 1.75 1.749409
1.75 1.75 1.749415
1.75 1.75 1.749422
1.75 1.75 1.749429
1.75 1.75 1.749436
1.75 1.75 1.749443
1.75 1.75 1.749451
1.75 1.75 1.749458
1.75 1.75 1.749466
1.75 1.75 1.749474
1.75 1.75 1.749482
1.75 1.75 1.749490
1.75 1.75 1.749499
1.75 1.75 1.749508
1.75 1.75 1.749517
1.75 1.75 1.749526
1.75 1.75 1.749535
1.75 1.75 1.749545
1.75 1.75 1.749554
1.75 1.75 1.749564
1.75 1.75 1.749574
1.75 1.75 1.749585
1.75 1.75 1.749595
1.75 1.75 1.749606
1.75 1.75 1.749617
1.75 1.75 1.749628
1.75 1.75 1.749639
1.75 1.75 1.749651
1.75 1.75 1.749662
1.75 1.75 1.749675
1.75 1.75 1.749687
1.75 1.75 1.749699
1.75 1.75 1.749712
1.75 1.75 1.749725
1.75 1.75 1.749738
1.75 1.75 1.749751
1.75 1.75 1.749765
1.75 1.75 1.749779
1.75 1.75 1.749793
