# Viterbi_decoding posterior_decoding posterior_mean
1.75 1.75 1.497607
1.75 1.75 1.497549
1.75 1.75 1.497495
1.75 1.75 1.497444
1.75 1.75 1.497397
1.75 1.75 1.497354
1.75 1.75 1.497315
1.75 1.75 1.497279
1.75 1.75 1.497247
1.75 1.75 1.497218
1.75 1.75 1.497193
1.75 1.75 1.497172
1.75 1.75 1.497154
1.75 1.75 1.497139
1.75 1.75 1.497128
1.75 1.75 1.497121
1.75 1.75 1.497116
1.75 1.75 1.497115
1.75 1.75 1.497118
1.75 1.75 1.497123
1.75 1.75 1.497132
1.75 1.75 1.497145
1.75 1.75 1.497160
1.75 1.75 1.497179
1.75 1.75 1.497201
1.75 1.75 1.497226
1.75 1.75 1.497254
1.75 1.75 1.497285
1.75 1.75 1.497320
1.75 1.75 1.497357
1.75 1.75 1.497398
1.75 1.75 1.497442
1.75 1.75 1.497488
1.75 1.75 1.497538
1.75 1.75 1.497591
1.75 1.75 1.497647
1.75 1.75 1.497706
1.75 1.75 1.497767
1.75 1.75 1.497832
1.75 1.75 1.497900
1.75 1.75 1.497970
1.75 1.75 1.498044
1.75 1.75 1.498120
1.75 1.75 1.498199
1.75 1.75 1.498281
1.75 1.75 1.498366
1.75 1.75 1.498454
1.75 1.75 1.498545
1.75 1.75 1.498638
1.75 1.75 1.498734
1.75 1.75 1.498834
1.75 1.75 1.498935
1.75 1.75 1.499040
1.75 1.75 1.499148
1.75 1.75 1.499258
1.75 1.75 1.499371
1.75 1.75 1.499486
1.75 1.75 1.499605
1.75 1.75 1.499726
1.75 1.75 1.499850
1.75 1.75 1.499977
1.75 1.75 1.500106
1.75 1.75 1.500238
1.75 1.75 1.500373
1.75 1.75 1.500511
1.75 1.75 1.500651
1.75 1.75 1.500794
1.75 1.75 1.500939
1.75 1.75 1.501088
1.75 1.75 1.501239
1.75 1.75 1.501392
1.75 1.75 1.501548
1.75 1.75 1.501707
1.75 1.75 1.501869
1.75 1.75 1.502033
1.75 1.75 1.502200
1.75 1.75 1.502370
1.75 1.75 1.502542
1.75 1.75 1.502717
1.75 1.75 1.502895
1.75 1.75 1.503075
1.75 1.75 1.503258
1.75 1.75 1.503443
1.75 1.75 1.503632
1.75 1.75 1.503822
1.75 1.75 1.504016
1.75 1.75 1.504212
1.75 1.75 1.504411
1.75 1.75 1.504612
1.75 1.75 1.504817
1.75 1.75 1.505023
1.75 1.75 1.505233
1.75 1.75 1.505445
1.75 1.75 1.505660
1.75 1.75 1.505877
1.75 1.75 1.506097
1.75 1.75 1.506320
1.75 1.75 1.506545
1.75 1.75 1.506774
1.75 1.75 1.507004
1.75 1.75 1.507238
1.75 1.75 1.507474
1.75 1.75 1.507713
1.75 1.75 1.507955
1.75 1.75 1.508199
1.75 1.75 1.508446
1.75 1.75 1.508696
1.75 1.75 1.508948
1.75 1.75 1.509203
1.75 1.75 1.509461
1.75 1.75 1.509722
1.75 1.75 1.509985
1.75 1.75 1.510251
1.75 1.75 1.510520
1.75 1.75 1.510792
1.75 1.75 1.511066
1.75 1.75 1.511344
1.75 1.75 1.511624
1.75 1.75 1.511907
1.75 1.75 1.512192
1.75 1.75 1.512481
1.75 1.75 1.512772
1.75 1.75 1.513066
1.75 1.75 1.513363
1.75 1.75 1.513663
1.75 1.75 1.513965
1.75 1.75 1.514271
1.75 1.75 1.514579
1.75 1.75 1.514890
1.75 1.75 1.515205
1.75 1.75 1.515522
1.75 1.75 1.515842
1.75 1.75 1.516165
1.75 1.75 1.516491
1.75 1.75 1.516819
1.75 1.75 1.517151
1.75 1.75 1.517486
1.75 1.75 1.517824
1.75 1.75 1.518165
1.75 1.75 1.518508
1.75 1.75 1.518855
1.75 1.75 1.519205
1.75 1.75 1.519558
1.75 1.75 1.519914
1.75 1.75 1.520273
1.75 1.75 1.520635
1.75 1.75 1.521000
1.75 1.75 1.521369
1.75 1.75 1.521740
1.75 1.75 1.522115
1.75 1.75 1.522493
1.75 1.75 1.522874
1.75 1.75 1.523258
1.75 1.75 1.523645
1.75 1.75 1.524036
1.75 1.75 1.524430
1.75 1.75 1.524827
1.75 1.75 1.525228
1.75 1.75 1.525631
1.75 1.75 1.526038
1.75 1.75 1.526449
1.75 1.75 1.526863
1.75 1.75 1.527280
1.75 1.75 1.527700
1.75 1.75 1.528124
1.75 1.75 1.528551
1.75 1.75 1.528982
1.75 1.75 1.529416
1.75 1.75 1.529854
1.75 1.75 1.530295
1.75 1.75 1.530740
1.75 1.75 1.531188
1.75 1.75 1.531640
1.75 1.75 1.532095
1.75 1.75 1.532554
1.75 1.75 1.533017
1.75 1.75 1.533483
1.75 1.75 1.533953
1.75 1.75 1.534427
1.75 1.75 1.534904
1.75 1.75 1.535385
1.75 1.75 1.535870
1.75 1.75 1.536358
1.75 1.75 1.536850
1.75 1.75 1.537347
1.75 1.75 1.537847
1.75 1.75 1.538351
1.75 1.75 1.538858
1.75 1.75 1.539370
1.75 1.75 1.539886
1.75 1.75 1.540405
1.75 1.75 1.540929
1.75 1.75 1.541457
1.75 1.75 1.541988
1.75 1.75 1.542524
1.75 1.75 1.543064
1.75 1.75 1.543608
1.75 1.75 1.544156
1.75 1.75 1.544708
1.75 1.75 1.545265
1.75 1.75 1.545826
1.75 1.75 1.546391
1.75 1.75 1.546960
1.75 1.75 1.547534
1.75 1.75 1.548112
1.75 1.75 1.548694
1.75 1.75 1.549281
1.75 1.75 1.549872
1.75 1.75 1.550468
1.75 1.75 1.551068
1.75 1.75 1.551673
1.75 1.75 1.552283
1.75 1.75 1.552897
1.75 1.75 1.553515
1.75 1.75 1.554139
1.75 1.75 1.554767
1.75 1.75 1.555400
1.75 1.75 1.556037
1.75 1.75 1.556680
1.75 1.75 1.557327
1.75 1.75 1.557979
1.75 1.75 1.558636
1.75 1.75 1.559298
1.75 1.75 1.559965
1.75 1.75 1.560637
1.75 1.75 1.561314
1.75 1.75 1.561997
1.75 1.75 1.562684
1.75 1.75 1.563377
1.75 1.75 1.564075
1.75 1.75 1.564778
1.75 1.75 1.565486
1.75 1.75 1.565578
1.75 1.75 1.565672
1.75 1.75 1.565767
1.75 1.75 1.565865
1.75 1.75 1.565965
1.75 1.75 1.566066
1.75 1.75 1.566169
1.75 1.75 1.566275
1.75 1.75 1.566382
1.75 1.75 1.566491
1.75 1.75 1.566602
1.75 1.75 1.566715
1.75 1.75 1.566829
1.75 1.75 1.566946
1.75 1.75 1.567064
1.75 1.75 1.567185
1.75 1.75 1.567307
1.75 1.75 1.567431
1.75 1.75 1.567557
1.75 1.75 1.567685
1.75 1.75 1.567815
1.75 1.75 1.567947
1.75 1.75 1.568080
1.75 1.75 1.568216
1.75 1.75 1.568353
1.75 1.75 1.568492
1.75 1.75 1.568633
1.75 1.75 1.568776
1.75 1.75 1.568921
1.75 1.75 1.569068
1.75 1.75 1.569216
1.75 1.75 1.569367
1.75 1.75 1.569519
1.75 1.75 1.569674
1.75 1.75 1.569830
1.75 1.75 1.569988
1.75 1.75 1.570148
1.75 1.75 1.570310
1.75 1.75 1.570473
1.75 1.75 1.570639
1.75 1.75 1.570807
1.75 1.75 1.570976
1.75 1.75 1.571148
1.75 1.75 1.571321
1.75 1.75 1.571496
1.75 1.75 1.571674
1.75 1.75 1.571853
1.75 1.75 1.572034
1.75 1.75 1.572217
1.75 1.75 1.572402
1.75 1.75 1.572589
1.75 1.75 1.572777
1.75 1.75 1.572968
1.75 1.75 1.573161
1.75 1.75 1.573356
1.75 1.75 1.573552
1.75 1.75 1.573751
1.75 1.75 1.573952
1.75 1.75 1.574154
1.75 1.75 1.574359
1.75 1.75 1.574566
1.75 1.75 1.574774
1.75 1.75 1.574985
1.75 1.75 1.575198
1.75 1.75 1.575413
1.75 1.75 1.575629
1.75 1.75 1.575848
1.75 1.75 1.576069
1.75 1.75 1.576292
1.75 1.75 1.576517
1.75 1.75 1.576744
1.75 1.75 1.576973
1.75 1.75 1.577204
1.75 1.75 1.577438
1.75 1.75 1.577673
1.75 1.75 1.577910
1.75 1.75 1.578150
1.75 1.75 1.578392
1.75 1.75 1.578636
