# Viterbi_decoding posterior_decoding posterior_mean
0.32 0.32 0.320000
0.32 0.32 0.320016
0.32 0.32 0.320032
0.32 0.32 0.320048
0.32 0.32 0.320064
0.32 0.32 0.320080
0.32 0.32 0.320096
0.32 0.32 0.320112
0.32 0.32 0.320128
0.32 0.32 0.320144
0.32 0.32 0.320160
0.32 0.32 0.320176
0.32 0.32 0.320192
0.32 0.32 0.320208
0.32 0.32 0.320224
0.32 0.32 0.320240
0.32 0.32 0.320256
0.32 0.32 0.320272
0.32 0.32 0.320288
0.32 0.32 0.320304
0.32 0.32 0.320320
0.32 0.32 0.320337
0.32 0.32 0.320353
0.32 0.32 0.320369
0.32 0.32 0.320385
0.32 0.32 0.320401
0.32 0.32 0.320417
0.32 0.32 0.320433
0.32 0.32 0.320449
0.32 0.32 0.320465
0.32 0.32 0.320481
0.32 0.32 0.320497
0.32 0.32 0.320513
0.32 0.32 0.320530
0.32 0.32 0.320546
0.32 0.32 0.320562
0.32 0.32 0.320578
0.32 0.32 0.320594
0.32 0.32 0.320610
0.32 0.32 0.320626
0.32 0.32 0.320642
0.32 0.32 0.320658
0.32 0.32 0.320675
0.32 0.32 0.320691
0.32 0.32 0.320707
0.32 0.32 0.320723
0.32 0.32 0.320739
0.32 0.32 0.320755
0.32 0.32 0.320771
0.32 0.32 0.320787
0.32 0.32 0.320803
0.32 0.32 0.320820
0.32 0.32 0.320836
0.32 0.32 0.320852
0.32 0.32 0.320868
0.32 0.32 0.320884
0.32 0.32 0.320900
0.32 0.32 0.320916
0.32 0.32 0.320932
0.32 0.32 0.320948
0.32 0.32 0.320965
0.32 0.32 0.320981
0.32 0.32 0.320997
0.32 0.32 0.321013
0.32 0.32 0.321029
0.32 0.32 0.321045
0.32 0.32 0.321061
0.32 0.32 0.321077
0.32 0.32 0.321093
0.32 0.32 0.321110
0.32 0.32 0.321126
0.32 0.32 0.321142
0.32 0.32 0.321158
0.32 0.32 0.321174
0.32 0.32 0.321190
0.32 0.32 0.321206
0.32 0.32 0.321222
0.32 0.32 0.321239
0.32 0.32 0.321255
0.32 0.32 0.321271
0.32 0.32 0.321287
0.32 0.32 0.321303
0.32 0.32 0.321319
0.32 0.32 0.321335
0.32 0.32 0.321351
0.32 0.32 0.321367
0.32 0.32 0.321384
0.32 0.32 0.321400
0.32 0.32 0.321416
0.32 0.32 0.321432
0.32 0.32 0.321448
0.32 0.32 0.321464
0.32 0.32 0.321480
0.32 0.32 0.321496
0.32 0.32 0.321513
0.32 0.32 0.321529
0.32 0.32 0.321545
0.32 0.32 0.321561
0.32 0.32 0.321577
0.32 0.32 0.321593
0.32 0.32 0.321609
0.32 0.32 0.321625
0.32 0.32 0.321642
0.32 0.32 0.321658
0.32 0.32 0.321674
0.32 0.32 0.321690
0.32 0.32 0.321706
0.32 0.32 0.321722
0.32 0.32 0.321738
0.32 0.32 0.321755
0.32 0.32 0.321771
0.32 0.32 0.321787
0.32 0.32 0.321803
0.32 0.32 0.321819
0.32 0.32 0.321835
0.32 0.32 0.321851
0.32 0.32 0.321868
0.32 0.32 0.321884
0.32 0.32 0.321900
0.32 0.32 0.321916
0.32 0.32 0.321932
0.32 0.32 0.321948
0.32 0.32 0.321965
0.32 0.32 0.321981
0.32 0.32 0.321997
0.32 0.32 0.322013
0.32 0.32 0.322029
0.32 0.32 0.322046
0.32 0.32 0.322062
0.32 0.32 0.322078
0.32 0.32 0.322094
0.32 0.32 0.322110
0.32 0.32 0.322127
0.32 0.32 0.322143
0.32 0.32 0.322159
0.32 0.32 0.322175
0.32 0.32 0.322191
0.32 0.32 0.322208
0.32 0.32 0.322224
0.32 0.32 0.322240
0.32 0.32 0.322256
0.32 0.32 0.322273
0.32 0.32 0.322289
0.32 0.32 0.322305
0.32 0.32 0.322321
0.32 0.32 0.322338
0.32 0.32 0.322354
0.32 0.32 0.322370
0.32 0.32 0.322387
0.32 0.32 0.322403
0.32 0.32 0.322419
0.32 0.32 0.322435
0.32 0.32 0.322452
0.32 0.32 0.322468
0.32 0.32 0.322484
0.32 0.32 0.322501
0.32 0.32 0.322517
0.32 0.32 0.322533
0.32 0.32 0.322550
0.32 0.32 0.322566
0.32 0.32 0.322582
0.32 0.32 0.322599
0.32 0.32 0.322615
0.32 0.32 0.322631
0.32 0.32 0.322648
0.32 0.32 0.322664
0.32 0.32 0.322681
0.32 0.32 0.322697
0.32 0.32 0.322713
0.32 0.32 0.322730
0.32 0.32 0.322746
0.32 0.32 0.322763
0.32 0.32 0.322779
0.32 0.32 0.322796
0.32 0.32 0.322812
0.32 0.32 0.322828
0.32 0.32 0.322845
0.32 0.32 0.322861
0.32 0.32 0.322878
0.32 0.32 0.322894
0.32 0.32 0.322911
0.32 0.32 0.322927
0.32 0.32 0.322944
0.32 0.32 0.322960
0.32 0.32 0.322977
0.32 0.32 0.322993
0.32 0.32 0.323010
0.32 0.32 0.323027
0.32 0.32 0.323043
0.32 0.32 0.323060
0.32 0.32 0.323076
0.32 0.32 0.323093
0.32 0.32 0.323109
0.32 0.32 0.323126
0.32 0.32 0.323143
0.32 0.32 0.323159
0.32 0.32 0.323176
0.32 0.32 0.323193
0.32 0.32 0.323209
0.32 0.32 0.323226
0.32 0.32 0.323243
0.32 0.32 0.323259
0.32 0.32 0.323276
0.32 0.32 0.323293
0.32 0.32 0.323309
0.32 0.32 0.323326
0.32 0.32 0.323343
0.32 0.32 0.323360
0.32 0.32 0.323376
0.32 0.32 0.323393
0.32 0.32 0.323410
0.32 0.32 0.323427
0.32 0.32 0.323444
0.32 0.32 0.323460
0.32 0.32 0.323477
0.32 0.32 0.323494
0.32 0.32 0.323511
0.32 0.32 0.323528
0.32 0.32 0.323545
0.32 0.32 0.323561
0.32 0.32 0.323578
0.32 0.32 0.323595
0.32 0.32 0.323612
0.32 0.32 0.323629
0.32 0.32 0.323646
0.32 0.32 0.323663
0.32 0.32 0.323680
0.32 0.32 0.323697
0.32 0.32 0.323714
0.32 0.32 0.323731
0.32 0.32 0.323748
0.32 0.32 0.323765
0.32 0.32 0.323782
0.32 0.32 0.323799
0.32 0.32 0.323816
0.32 0.32 0.323833
0.32 0.32 0.323850
0.32 0.32 0.323867
0.32 0.32 0.323885
0.32 0.32 0.323902
0.32 0.32 0.323919
0.32 0.32 0.323936
0.32 0.32 0.323953
0.32 0.32 0.323970
0.32 0.32 0.323988
0.32 0.32 0.324005
0.32 0.32 0.324022
0.32 0.32 0.324039
0.32 0.32 0.324056
0.32 0.32 0.324074
0.32 0.32 0.324091
0.32 0.32 0.324108
0.32 0.32 0.324126
0.32 0.32 0.324143
0.32 0.32 0.324160
0.32 0.32 0.324178
0.32 0.32 0.324195
0.32 0.32 0.324212
0.32 0.32 0.324230
0.32 0.32 0.324247
0.32 0.32 0.324265
0.32 0.32 0.324282
0.32 0.32 0.324300
0.32 0.32 0.324317
0.32 0.32 0.324335
0.32 0.32 0.324352
0.32 0.32 0.324370
0.32 0.32 0.324387
0.32 0.32 0.324405
0.32 0.32 0.324422
0.32 0.32 0.324440
0.32 0.32 0.324458
0.32 0.32 0.324475
0.32 0.32 0.324493
0.32 0.32 0.324511
0.32 0.32 0.324528
0.32 0.32 0.324546
0.32 0.32 0.324564
0.32 0.32 0.324581
0.32 0.32 0.324599
0.32 0.32 0.324617
0.32 0.32 0.324635
0.32 0.32 0.324652
0.32 0.32 0.324670
0.32 0.32 0.324688
0.32 0.32 0.324706
0.32 0.32 0.324724
0.32 0.32 0.324742
0.32 0.32 0.324760
0.32 0.32 0.324777
0.32 0.32 0.324795
0.32 0.32 0.324813
0.32 0.32 0.324831
0.32 0.32 0.324849
0.32 0.32 0.324867
0.32 0.32 0.324885
0.32 0.32 0.324903
0.32 0.32 0.324922
0.32 0.32 0.324940
0.32 0.32 0.324958
0.32 0.32 0.324976
0.32 0.32 0.324994
0.32 0.32 0.325012
0.32 0.32 0.325030
0.32 0.32 0.325049
0.32 0.32 0.325067
0.32 0.32 0.325085
0.32 0.32 0.325103
0.32 0.32 0.325122
0.32 0.32 0.325140
0.32 0.32 0.325158
0.32 0.32 0.325177
0.32 0.32 0.325195
0.32 0.32 0.325213
0.32 0.32 0.325232
0.32 0.32 0.325250
0.32 0.32 0.325269
0.32 0.32 0.325287
0.32 0.32 0.325305
0.32 0.32 0.325324
0.32 0.32 0.325342
0.32 0.32 0.325361
0.32 0.32 0.325380
0.32 0.32 0.325398
0.32 0.32 0.325417
0.32 0.32 0.325435
0.32 0.32 0.325454
0.32 0.32 0.325473
0.32 0.32 0.325491
0.32 0.32 0.325510
